iter	Passed	Remaining
529	15851	2093
530	15880	2063
531	15908	2033
532	15938	2003
533	15972	1974
534	16009	1945
535	16043	1915
536	16078	1886
537	16113	1856
538	16151	1827
539	16188	1798
540	16226	1769
541	16263	1740
542	16299	1711
543	16334	1681
544	16368	1651
545	16403	1622
546	16439	1592
547	16472	1563
548	16505	1533
549	16538	1503
550	16567	1473
551	16595	1443
552	16624	1412
553	16652	1382
554	16681	1352
555	16708	1322
556	16737	1292
557	16764	1261
558	16792	1231
559	16819	1201
560	16846	1171
561	16873	1140
562	16901	1110
563	16926	1080
564	16953	1050
565	16979	1019
566	17005	989
567	17032	959
568	17058	929
569	17084	899
570	17111	869
571	17137	838
572	17165	808
573	17191	778
574	17218	748
575	17245	718
576	17273	688
577	17301	658
578	17329	628
579	17356	598
580	17383	568
581	17411	538
582	17439	508
583	17466	478
584	17492	448
585	17520	418
586	17547	388
587	17578	358
588	17608	328
589	17638	298
590	17666	269
591	17694	239
592	17722	209
593	17750	179
594	17780	149
595	17813	119
596	17847	89
597	17881	59
598	17915	29
599	17950	0
